0;Title;Acronym;GGS Class;GGS Rating;Qualified Classes;Collected Classes;All Qualified Classes;MA-Max. Field Rating;MA-Best Rank Field Rating;MA-Best Class Field Rating;MA-All Field Ratings;MA-All Ranks Field Rating;MA-All Classes Field Rating;MA-Max. Avg. Citations;MA-Best Rank Avg. Citations;MA-Best Class Avg. Citations;MA-All Avg. Citations;MA-All Ranks Avg. Citations;MA-All Classes Avg. Citations;MA-Max. Num. of Papers;MA-Max. Citations;MA-All Num. of Papers;MA-All Citations;LiveSHINE-Max. H-Index;LiveSHINE-Best Rank H-Index;LiveSHINE-Best Class H-Index;LiveSHINE-All H-Indexes;LiveSHINE-All Ranks H-Index;LiveSHINE-All Classes H-Index;LiveSHINE-Max. Avg. Citations;LiveSHINE-Best Rank Avg. Citations;LiveSHINE-Best Class Avg. Citations;LiveSHINE-All Avg. Citations;LiveSHINE-All Ranks Avg. Citations;LiveSHINE-All Classes Avg. Citations;LiveSHINE-Max. Num. of Papers;LiveSHINE-Max. Citations;LiveSHINE-All Num. of Papers;LiveSHINE-All Citations;CORE-Best Class;CORE-All Classes;Num. of Input Records;;;;;;
240;IFIP INTERNATIONAL CONFERENCE ON BROADBAND COMMUNICATIONS;BC;Work in Progress;Work in Progress;CORE:C;C;CORE:[C];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;C;1;;;;;;
241;ACM INTERNATIONAL CONFERENCE ON BIOINFORMATICS AND COMPUTATIONAL BIOLOGY;BCB;Work in Progress;Work in Progress;LiveSHINE:C;C;LiveSHINE:[C|D];;;;;;;;;;;;;;;;;18;758;C;18;758;C;3,16;927;D;3,16;927;D;787;2489;787;2489;;;1;;;;;;
242;BRITISH COMPUTER SOCIETY CONFERENCE ON HUMAN-COMPUTER INTERACTION;BCS-HCI;Work in Progress;Work in Progress;CORE:NC, LiveSHINE:C;C, NC;CORE:[NC], LiveSHINE:[C|D];;;;;;;;;;;;;;;;;9;959;C;9;959;C;2,24;975;D;2,24;975;D;210;470;210;470;NC;NC;2;;;;;;
243;BIPOLAR/BICMOS CIRCUITS AND TECHNOLOGY MEETING;BCTM;Work in Progress;Work in Progress;MA:B;B;MA:[B|C];56;494;B;56;494;B;7,03;1088;C;7,03;1088;C;2495;17536;2495;17536;;;;;;;;;;;;;;;;;;;1;;;;;;
244;BERKELEY WORKSHOP;BERKELEY;Work in Progress;Work in Progress;MA:C;C;MA:[C|C];17;1669;C;17;1669;C;7,18;1069;C;7,18;1069;C;179;1286;179;1286;;;;;;;;;;;;;;;;;;;1;;;;;;
245;INTERNATIONAL WORKSHOP ON BOOLEAN FUNCTIONS: CRYPTOGRAPHY AND APPLICATIONS;BFCA;Work in Progress;Work in Progress;CORE:C;C;CORE:[C];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;C;1;;;;;;
246;BIOINFORMATICS AND BIOENGINEERING;BIBE;Work in Progress;Work in Progress;CORE:C, LiveSHINE:B-, MA:C;B-, C, C;CORE:[C], LiveSHINE:[B-|D], MA:[C|D];39;667;C;39;667;C;5,5;1299;D;5,5;1299;D;1719;9453;1719;9453;23;607;B-;23;607;B-;3,54;905;D;3,54;905;D;1244;4398;1244;4398;C;C;3;;;;;;
247;BIOINFORMATICS AND BIOMEDICINE;BIBM;Work in Progress;Work in Progress;LiveSHINE:C, MA:C;C, C;LiveSHINE:[C|D], MA:[C|D];22;1238;C;22;1238;C;1,71;1937;D;1,71;1937;D;2996;5114;2996;5114;21;667;C;21;667;C;2,34;968;D;2,34;968;D;1529;3577;1529;3577;;;2;;;;;;
248;ANNUAL INTERNATIONAL CONFERENCE ON BIOLOGICALLY INSPIRED COGNITIVE ARCHITECTURES;BICA;Work in Progress;Work in Progress;LiveSHINE:C, MA:C;C, C;LiveSHINE:[C|D], MA:[C|D];16;1770;C;16;1770;C;3,43;1661;D;3,43;1661;D;416;1425;416;1425;10;938;C;10;938;C;2,02;986;D;2,02;986;D;257;520;257;520;;;2;;;;;;
249;IFIP CONFERENCE ON BIOLOGICALLY INSPIRED COLLABORATIVE COMPUTING;BICC;Work in Progress;Work in Progress;CORE:C;C;CORE:[C];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;C;1;;;;;;
250;BRAIN-INSPIRED COGNITIVE SYSTEMS CONFERENCE;BICS;Work in Progress;Work in Progress;LiveSHINE:C;C;LiveSHINE:[C|D];;;;;;;;;;;;;;;;;9;959;C;9;959;C;2,7;954;D;2,7;954;D;127;343;127;343;;;1;;;;;;
251;INTERNATIONAL CONFERENCE ON BIG DATA;BIG DATA;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];24;1127;C;24;1127;C;1,86;1918;D;1,86;1918;D;3559;6625;3559;6625;;;;;;;;;;;;;;;;;;;1;;;;;;
252;INTERNATIONAL CONGRESS ON BIG DATA;BIGDATA CONGRESS;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];18;1569;C;18;1569;C;3,87;1570;D;3,87;1570;D;464;1797;464;1797;;;;;;;;;;;;;;;;;;;1;;;;;;
253;BIOMEDICAL CIRCUITS AND SYSTEMS CONFERENCE;BIOCAS;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];25;1069;C;25;1069;C;3,91;1559;D;3,91;1559;D;1428;5582;1428;5582;;;;;;;;;;;;;;;;;;;1;;;;;;
254;INTERNATIONAL CONFERENCE ON BIOMEDICAL ELECTRONICS AND DEVICES;BIODEVICES;Work in Progress;Work in Progress;LiveSHINE:C;C;LiveSHINE:[C|D];;;;;;;;;;;;;;;;;13;887;C;13;887;C;1,87;993;D;1,87;993;D;551;1029;551;1029;;;1;;;;;;
255;INTERNATIONAL CONFERENCE ON BIOINFORMATICS;BIOINFORMATICS;Work in Progress;Work in Progress;LiveSHINE:C, MA:C;C, C;LiveSHINE:[C|D], MA:[C|D];39;667;C;39;667;C;1,81;1924;D;1,81;1924;D;6508;11807;6508;11807;8;983;C;8;983;C;1,31;1007;D;1,31;1007;D;287;377;287;377;;;2;;;;;;
256;DATA MINING IN BIOINFORMATICS;BIOKDD;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];19;1487;C;19;1487;C;4,55;1447;D;4,55;1447;D;482;2195;482;2195;;;;;;;;;;;;;;;;;;;1;;;;;;
257;BIOMEDICAL ENGINEERING;BIOMED;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];28;913;C;28;913;C;1,31;1978;D;1,31;1978;D;5488;7205;5488;7205;;;;;;;;;;;;;;;;;;;1;;;;;;
258;BIOINSPIRED MODELS OF NETWORK, INFORMATION, AND COMPUTING SYSTEMS;BIONETICS;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];17;1669;C;17;1669;C;5,78;1249;D;5,78;1249;D;281;1624;281;1624;;;;;;;;;;;;;;;;;;;1;;;;;;
259;IEEE INTERNATIONAL CONFERENCE ON BIOMEDICAL ROBOTICS AND BIOMECHATRONICS;BIOROB;Work in Progress;Work in Progress;MA:B-;B-;MA:[B-|C];41;646;B-;41;646;B-;7,45;1033;C;7,45;1033;C;1296;9655;1296;9655;;;;;;;;;;;;;;;;;;;1;;;;;;
260;INTERNATIONAL CONFERENCE ON BIO-INSPIRED SYSTEMS AND SIGNAL PROCESSING;BIOSIGNALS;Work in Progress;Work in Progress;LiveSHINE:C, MA:C;C, C;LiveSHINE:[C|D], MA:[C|D];15;1883;C;15;1883;C;2,21;1875;D;2,21;1875;D;598;1321;598;1321;15;848;C;15;848;C;2,44;963;D;2,44;963;D;666;1623;666;1623;;;2;;;;;;
261;INTERNATIONAL CONFERENCE ON PERSPECTIVES IN BUSINESS INFORMATICS RESEARCH;BIR;Work in Progress;Work in Progress;LiveSHINE:C;C;LiveSHINE:[C|D];;;;;;;;;;;;;;;;;10;938;C;10;938;C;3,02;938;D;3,02;938;D;133;401;133;401;;;1;;;;;;
262;INTERNATIONAL WORKSHOP ON BUSINESS INTELLIGENCE FOR THE REAL TIME ENTERPRISE;BIRTE;Work in Progress;Work in Progress;LiveSHINE:C;C;LiveSHINE:[C|D];;;;;;;;;;;;;;;;;11;921;C;11;921;C;6,09;714;D;6,09;714;D;54;329;54;329;;;1;;;;;;
263;INTERNATIONAL CONFERENCE ON BUSINESS INFORMATION SYSTEMS;BIS;3;B-;CORE:B, LiveSHINE:B, MA:C;B, B, C;CORE:[B], LiveSHINE:[B|B-], MA:[C|D];35;724;C;35;724;C;5,22;1349;D;5,22;1349;D;1853;9665;1853;9665;28;474;B;28;474;B;10,55;428;B-;10,55;428;B-;328;3460;328;3460;B;B;3;;;;;;
264;BLED ECONFERENCE;BLED;Work in Progress;Work in Progress;MA:C;C;MA:[C|C];28;913;C;28;913;C;9,62;850;C;9,62;850;C;809;7782;809;7782;;;;;;;;;;;;;;;;;;;1;;;;;;
265;INTERNATIONAL BEHAVIORAL MODELING AND SIMULATION WORKSHOP;BMAS;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];16;1770;C;16;1770;C;6,31;1179;D;6,31;1179;D;217;1370;217;1370;;;;;;;;;;;;;;;;;;;1;;;;;;
266;BIOMEDICAL ENGINEERING AND INFORMATICS;BMEI;Work in Progress;Work in Progress;LiveSHINE:C, MA:C;C, C;LiveSHINE:[C|D], MA:[C|D];21;1323;C;21;1323;C;1,49;1960;D;1,49;1960;D;3952;5870;3952;5870;18;758;C;18;758;C;1,79;994;D;1,79;994;D;2225;3975;2225;3975;;;2;;;;;;
267;INTERNATIONAL SYMPOSIUM ON BROADBAND MULTIMEDIA SYSTEMS AND BROADCASTING;BMSB;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];19;1487;C;19;1487;C;2,87;1772;D;2,87;1772;D;1074;3079;1074;3079;;;;;;;;;;;;;;;;;;;1;;;;;;
268;BRITISH MACHINE VISION CONFERENCE;BMVC;2;A;LiveSHINE:A+, MA:A+;A+, A+;LiveSHINE:[A|A++], MA:[A|A++];125;106;A;125;106;A;27,14;279;A++;27,14;279;A++;2811;76301;2811;76301;72;83;A;72;83;A;25,45;127;A++;25,45;127;A++;965;24555;965;24555;;;2;;;;;;
269;BELGIUM-NETHERLANDS CONFERENCE ON ARTIFICIAL INTELLIGENCE;BNAIC;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];17;1669;C;17;1669;C;4,59;1443;D;4,59;1443;D;234;1073;234;1073;;;;;;;;;;;;;;;;;;;1;;;;;;
270;BRITISH NATIONAL CONFERENCE ON DATABASES;BNCOD;Work in Progress;Work in Progress;LiveSHINE:C, MA:C;C, C;LiveSHINE:[C|D], MA:[C|D];24;1127;C;24;1127;C;5,77;1253;D;5,77;1253;D;608;3506;608;3506;16;826;C;16;826;C;5,6;753;D;5,6;753;D;199;1114;199;1114;;;2;;;;;;
271;INTERNATIONAL CONFERENCE ON BODY AREA NETWORKS;BODYNETS;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];26;1015;C;26;1015;C;6,74;1125;D;6,74;1125;D;476;3207;476;3207;;;;;;;;;;;;;;;;;;;1;;;;;;
272;INTERNATIONAL WORKSHOP ON BUSINESS PROCESS DESIGN;BPD;Work in Progress;Work in Progress;CORE:C;C;CORE:[C];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;C;1;;;;;;
273;BRAZILIAN POWER ELECTRONICS CONFERENCE;BPEC;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];16;1770;C;16;1770;C;3,16;1717;D;3,16;1717;D;768;2425;768;2425;;;;;;;;;;;;;;;;;;;1;;;;;;
274;INTERNATIONAL WORKSHOP ON BUSINESS PROCESS INTELLIGENCE;BPI;Work in Progress;Work in Progress;CORE:C;C;CORE:[C];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;C;1;;;;;;
275;INTERNATIONAL CONFERENCE IN BUSINESS PROCESS MANAGEMENT;BPM;2;A;CORE:A, LiveSHINE:A+, MA:A;A+, A, A;CORE:[A], LiveSHINE:[A|A++], MA:[A|A+];101;169;A;101;169;A;24,27;327;A+;24,27;327;A+;1707;41431;1707;41431;58;129;A;58;129;A;37,52;69;A++;37,52;69;A++;337;12645;337;12645;A;A;3;;;;;;
276;INTERNATIONAL WORKSHOP ON BUSINESS PROCESS MODELLING, DEVELOPMENT, AND SUPPORT;BPMDS;Work in Progress;Work in Progress;CORE:C;C;CORE:[C];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;C;1;;;;;;
277;BUSINESS PROCESS MODELING NOTATION;BPMN;Work in Progress;Work in Progress;MA:C;C;MA:[C|B-];15;1883;C;15;1883;C;11,43;719;B-;11,43;719;B-;40;457;40;457;;;;;;;;;;;;;;;;;;;1;;;;;;
278;BROADBAND COMMUNICATIONS, NETWORKS AND SYSTEMS;BROADNETS;3;B;CORE:B, MA:B;B, B;CORE:[B], MA:[B|C];54;527;B;54;527;B;8,78;909;C;8,78;909;C;1340;11760;1340;11760;;;;;;;;;;;;;;;;;B;B;2;;;;;;
279;BRAZILIAN SYMPOSIUM ON BIOINFORMATICS;BSB;Work in Progress;Work in Progress;LiveSHINE:C;C;LiveSHINE:[C|D];;;;;;;;;;;;;;;;;14;862;C;14;862;C;3,83;890;D;3,83;890;D;204;781;204;781;;;1;;;;;;
280;BIENNIAL SYMPOSIUM ON COMMUNICATIONS;BSC;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];16;1770;C;16;1770;C;4,13;1522;D;4,13;1522;D;380;1568;380;1568;;;;;;;;;;;;;;;;;;;1;;;;;;
281;BODY SENSOR NETWORKS;BSN;Work in Progress;Work in Progress;CORE:C, MA:B-;B-, C;CORE:[C], MA:[B-|B];49;582;B-;49;582;B-;14,61;567;B;14,61;567;B;665;9714;665;9714;;;;;;;;;;;;;;;;;C;C;2;;;;;;
282;IEEE INTERNATIONAL CONFERENCE ON BIOMETRICS: THEORY, APPLICATIONS AND SYSTEMS;BTAS;2;A-;LiveSHINE:A, MA:A-;A, A-;LiveSHINE:[A-|A], MA:[B|A];61;425;B;61;425;B;19,5;412;A;19,5;412;A;539;10511;539;10511;44;226;A-;44;226;A-;18,39;219;A;18,39;219;A;384;7060;384;7060;;;2;;;;;;
283;BROADBAND AND WIRELESS COMPUTING, COMMUNICATION AND APPLICATIONS;BWCCA;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];21;1323;C;21;1323;C;3,38;1671;D;3,38;1671;D;836;2823;836;2823;;;;;;;;;;;;;;;;;;;1;;;;;;
284;HUMAN LANGUAGE TECHNOLOGIES;BALTIC HLT;3;B-;CORE:B, LiveSHINE:C, MA:A-;A-, B, C;CORE:[B], LiveSHINE:[C|D], MA:[B|A++];68;347;B;68;347;B;39;162;A++;39;162;A++;570;22228;570;22228;9;959;C;9;959;C;3,27;919;D;3,27;919;D;110;360;110;360;B;B;3;;;;;;
285;BIOINFORMATICS VISUALIZATION;BIOVIZ;Work in Progress;Work in Progress;CORE:C;C;CORE:[C];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;C;1;;;;;;
286;ACM INTERNATIONAL CONFERENCE ON SYSTEMS FOR ENERGY-EFFICIENT BUILT ENVIRONMENTS;BUILDSYS;Work in Progress;Work in Progress;CORE:A;A;CORE:[A];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A;A;1;;;;;;
287;VISUALISATION IN BUILT ENVIRONMENT;BUILTVIZ;Work in Progress;Work in Progress;CORE:C;C;CORE:[C];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;C;1;;;;;;
288;INTERNATIONAL WORKSHOP ON C# AND .NET TECHNOLOGIES;C#;Work in Progress;Work in Progress;CORE:C;C;CORE:[C];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;C;1;;;;;;
289;CREATIVITY AND COGNITION;C&C;Work in Progress;Work in Progress;MA:C;C;MA:[C|C];30;836;C;30;836;C;7,5;1026;C;7,5;1026;C;714;5353;714;5353;;;;;;;;;;;;;;;;;;;1;;;;;;
290;COMMUNITIES AND TECHNOLOGIES;C&T;Work in Progress;Work in Progress;MA:B-;B-;MA:[C|A];23;1184;C;23;1184;C;21,6;371;A;21,6;371;A;200;4320;200;4320;;;;;;;;;;;;;;;;;;;1;;;;;;
291;HYPERCUBE CONCURRENT COMPUTERS AND APPLICATIONS;C3P;Work in Progress;Work in Progress;MA:C;C;MA:[C|B];23;1184;C;23;1184;C;13,68;597;B;13,68;597;B;193;2641;193;2641;;;;;;;;;;;;;;;;;;;1;;;;;;
292;CONFERENCE ON CREATING, CONNECTING AND COLLABORATING THROUGH COMPUTING;C5;Work in Progress;Work in Progress;CORE:C, MA:C;C, C;CORE:[C], MA:[C|C];19;1487;C;19;1487;C;8,43;939;C;8,43;939;C;253;2132;253;2132;;;;;;;;;;;;;;;;;C;C;2;;;;;;
293;ASSOCIATION FOR COMPUTER-AIDED ARCHITECTURAL DESIGN RESEARCH IN ASIA (CAADRIA) ANNUAL CONFERENCE;CAADRIA;Work in Progress;Work in Progress;CORE:B;B;CORE:[B];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B;B;1;;;;;;
294;WORKSHOP ON COMBINATORIAL AND ALGORITHMIC ASPECTS OF NETWORKING;CAAN;Work in Progress;Work in Progress;CORE:B, LiveSHINE:C;B, C;CORE:[B], LiveSHINE:[C|D];;;;;;;;;;;;;;;;;7;996;C;7;996;C;6,38;683;D;6,38;683;D;21;134;21;134;B;B;2;;;;;;
295;COLLOQUIUM ON TREES IN ALGEBRA AND PROGRAMMING;CAAP;Work in Progress;Work in Progress;MA:A-;A-;MA:[B|A];53;549;B;53;549;B;20,92;382;A;20,92;382;A;488;10207;488;10207;;;;;;;;;;;;;;;;;;;1;;;;;;
296;IEEE INTERNATIONAL SYMPOSIUM ON COMPUTER AIDED CONTROL SYSTEM DESIGN;CACSD;Work in Progress;Work in Progress;CORE:B, MA:C;B, C;CORE:[B], MA:[C|C];26;1015;C;26;1015;C;9,81;831;C;9,81;831;C;329;3228;329;3228;;;;;;;;;;;;;;;;;B;B;2;;;;;;
297;COMPUTER-AIDED DESIGN AND COMPUTER GRAPHICS;CAD GRAPHICS;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];18;1569;C;18;1569;C;2,36;1853;D;2,36;1853;D;1102;2603;1102;2603;;;;;;;;;;;;;;;;;;;1;;;;;;
298;INTERNATIONAL JOINT CONFERENCE ON AUTOMATED REASONING;CADE;2;A;CORE:A++, LiveSHINE:A-, MA:A;A++, A, A-;CORE:[A], LiveSHINE:[B|A], MA:[A-|A++];90;205;A-;53, 90;205, 549;B, A-;27,52;274;A++;26,41, 27,52;274, 289;A++, A++;1360;35924;374, 1360;10294, 35924;38;296;B;37, 38;296, 313;B, B;21,12;168;A;21,07, 21,12;168, 169;A, A;224;4732;223, 224;4698, 4732;A++;A, A++;6;;;;;;
299;ISCA INTERNATIONAL CONFERENCE ON COMPUTER APPLICATIONS IN INDUSTRY AND ENGINEERING;CAINE;Work in Progress;Work in Progress;CORE:C;C;CORE:[C];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;C;1;;;;;;
300;INTERNATIONAL CONFERENCE ON COMPUTER ANALYSIS OF IMAGES AND PATTERNS;CAIP;3;B;CORE:B, LiveSHINE:B, MA:B-;B, B, B-;CORE:[B], LiveSHINE:[B|D], MA:[B-|D];41;646;B-;41;646;B-;5,96;1229;D;5,96;1229;D;1496;8910;1496;8910;26;511;B;26;511;B;5,25;778;D;5,25;778;D;795;4173;795;4173;B;B;3;;;;;;
301;INTERNATIONAL CONFERENCE ON ADVANCED INFORMATION SYSTEMS ENGINEERING;CAISE;2;A;CORE:A, LiveSHINE:A, MA:A;A, A, A;CORE:[A], LiveSHINE:[A|A+], MA:[A|A];100;174;A;100;174;A;18,99;428;A;18,99;428;A;2241;42546;2241;42546;53;155;A;53;155;A;24,47;136;A+;24,47;136;A+;463;11331;463;11331;A;A;3;;;;;;
302;CONFERENCE ON ALGEBRA AND COALGEBRA IN COMPUTER SCIENCE;CALCO;Work in Progress;Work in Progress;MA:C;C;MA:[C|C];19;1487;C;19;1487;C;8,26;957;C;8,26;957;C;213;1760;213;1760;;;;;;;;;;;;;;;;;;;1;;;;;;
303;COMPUTER AIDED MODELING AND DESIGN OF COMMUNICATION LINKS AND NETWORKS;CAMAD;Work in Progress;Work in Progress;LiveSHINE:C, MA:C;C, C;LiveSHINE:[C|D], MA:[C|D];18;1569;C;18;1569;C;3,56;1627;D;3,56;1627;D;505;1797;505;1797;15;848;C;15;848;C;3,83;888;D;3,83;888;D;308;1180;308;1180;;;2;;;;;;
304;INTERNATIONAL WORKSHOP ON COMPUTER ARCHITECTURE FOR MACHINE PERCEPTION;CAMP;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];17;1669;C;17;1669;C;6,99;1092;D;6,99;1092;D;200;1397;200;1397;;;;;;;;;;;;;;;;;;;1;;;;;;
305;IEEE INTERNATIONAL WORKSHOP ON COMPUTATIONAL ADVANCES IN MULTI-SENSOR ADAPTIVE PROCESSING;CAMSAP;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];24;1127;C;24;1127;C;5,53;1286;D;5,53;1286;D;772;4273;772;4273;;;;;;;;;;;;;;;;;;;1;;;;;;
306;CRYPTOLOGY AND NETWORK SECURITY;CANS;Work in Progress;Work in Progress;CORE:B, MA:C;B, C;CORE:[B], MA:[C|B-];30;836;C;30;836;C;11,51;711;B-;11,51;711;B-;356;4097;356;4097;;;;;;;;;;;;;;;;;B;B;2;;;;;;
307;SMART CARD RESEARCH AND ADVANCED APPLICATION CONFERENCE;CARDIS;3;B-;CORE:B, MA:B-;B, B-;CORE:[B], MA:[C|A];38;678;C;38;678;C;21,25;375;A;21,25;375;A;318;6757;318;6757;;;;;;;;;;;;;;;;;B;B;2;;;;;;
308;COMPUTER ASSISTED RADIOLOGY AND SURGERY;CARS;Work in Progress;Work in Progress;MA:B;B;MA:[B|D];55;506;B;55;506;B;6,74;1124;D;6,74;1124;D;2515;16954;2515;16954;;;;;;;;;;;;;;;;;;;1;;;;;;
309;COMPUTER ALGEBRA IN SCIENTIFIC COMPUTING;CASC;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];15;1883;C;15;1883;C;3,64;1613;D;3,64;1613;D;438;1593;438;1593;;;;;;;;;;;;;;;;;;;1;;;;;;
310;CONFERENCE OF THE CENTRE FOR ADVANCED STUDIES ON COLLABORATIVE RESEARCH;CASCON;3;B;LiveSHINE:B, MA:B;B, B;LiveSHINE:[B|C], MA:[B|B];58;464;B;58;464;B;15,65;520;B;15,65;520;B;971;15197;971;15197;27;491;B;27;491;B;7;643;C;7;643;C;416;2912;416;2912;;;2;;;;;;
311;INTERNATIONAL WORKSHOP ON COMPUTER-AIDED SOFTWARE ENG;CASE;Work in Progress;Work in Progress;CORE:B, LiveSHINE:C;B, C;CORE:[B], LiveSHINE:[C|D];;;;;;;;;;;;;;;;;17;800;C;17;800;C;2,5;960;D;2,5;960;D;1013;2534;1013;2534;B;B;2;;;;;;
312;INTERNATIONAL CONFERENCE ON COMPILERS, ARCHITECTURE, AND SYNTHESIS FOR EMBEDDED SYSTEMS;CASES;2;A-;CORE:A, LiveSHINE:B, MA:A-;A, A-, B;CORE:[A], LiveSHINE:[B|A-], MA:[B|A];65;376;B;65;376;B;21,11;380;A;21,11;380;A;588;12415;588;12415;35;338;B;35;338;B;16,43;258;A-;16,43;258;A-;326;5355;326;5355;A;A;3;;;;;;
313;COMPUTATIONAL ASPECTS OF SOCIAL NETWORKS;CASON;Work in Progress;Work in Progress;LiveSHINE:C, MA:C;C, C;LiveSHINE:[C|D], MA:[C|D];15;1883;C;15;1883;C;3,14;1721;D;3,14;1721;D;337;1059;337;1059;14;862;C;14;862;C;3,24;922;D;3,24;922;D;270;874;270;874;;;2;;;;;;
314;INTERNATIONAL CONFERENCE ON COMPUTERS AND THEIR APPLICATIONS;CATA;Work in Progress;Work in Progress;CORE:C;C;CORE:[C];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;C;1;;;;;;
315;CULTURAL ATTITUDES TOWARDS TECHNOLOGY AND COMMUNICATIONS;CATAC;Work in Progress;Work in Progress;CORE:B;B;CORE:[B];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B;B;1;;;;;;
316;COMPUTING: THE AUSTRALASIAN THEORY SYMPOSIUM;CATS;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];15;1883;C;15;1883;C;4,51;1457;D;4,51;1457;D;217;978;217;978;;;;;;;;;;;;;;;;;;;1;;;;;;
317;COMPUTER AIDED VERIFICATION;CAV;1;A+;CORE:A++, LiveSHINE:A+, MA:A+;A++, A+, A+;CORE:[A++], LiveSHINE:[A+|A++], MA:[A+|A++];157;68;A+;157;68;A+;57,88;76;A++;57,88;76;A++;1777;102855;1777;102855;78;71;A+;78;71;A+;43,98;50;A++;43,98;50;A++;582;25595;582;25595;A++;A++;3;;;;;;
318;COMPUTER ANIMATION, INFORMATION VISUALISATION, AND DIGITAL EFFECTS;CAIVDE;Work in Progress;Work in Progress;CORE:C;C;CORE:[C];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;C;1;;;;;;
319;IEEE CONFERENCE ON ELECTRONIC COMMERCE TECHNOLOGY AND ENTERPRISE COMPUTING, E_COMMERCE AND E-SERVICES;CBI (WAS CEC/EEE);Work in Progress;Work in Progress;CORE:B;B;CORE:[B];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B;B;1;;;;;;
320;CONTENT-BASED MULTIMEDIA INDEXING;CBMI;Work in Progress;Work in Progress;LiveSHINE:C, MA:C;C, C;LiveSHINE:[C|D], MA:[C|D];19;1487;C;19;1487;C;4,91;1392;D;4,91;1392;D;524;2571;524;2571;20;700;C;20;700;C;5,98;727;D;5,98;727;D;419;2507;419;2507;;;2;;;;;;
321;COMPUTER-BASED MEDICAL SYSTEMS;CBMS;3;B;LiveSHINE:B, MA:B;B, B;LiveSHINE:[B|D], MA:[B|D];54;527;B;54;527;B;6,5;1152;D;6,5;1152;D;2501;16269;2501;16269;33;368;B;33;368;B;6,39;682;D;6,39;682;D;1120;7152;1120;7152;;;2;;;;;;
322;CHINESE CONFERENCE ON BIOMETRIC RECOGNITION;CBR;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];16;1770;C;16;1770;C;3,39;1668;D;3,39;1668;D;468;1587;468;1587;;;;;;;;;;;;;;;;;;;1;;;;;;
323;COMPONENT-BASED SOFTWARE ENGINEERING;CBSE;3;B;LiveSHINE:B, MA:A-;A-, B;LiveSHINE:[B|B], MA:[B|A];51;574;B;51;574;B;19,98;398;A;19,98;398;A;476;9512;476;9512;31;405;B;31;405;B;14,22;310;B;14,22;310;B;232;3299;232;3299;;;2;;;;;;
324;INTERNATIONAL CONFERENCE ON COMPILER CONSTRUCTION;CC;2;A-;CORE:A, LiveSHINE:A-;A, A-;CORE:[A], LiveSHINE:[B|A];;;;;;;;;;;;;;;;;32;379;B;32;379;B;19,01;202;A;19,01;202;A;183;3479;183;3479;A;A;2;;;;;;
325;INTERNATIONAL CONFERENCE ON CONTROL APPLICATIONS;CCA;Work in Progress;Work in Progress;MA:B;B;MA:[B|D];73;300;B;73;300;B;6,42;1165;D;6,42;1165;D;6755;43357;6755;43357;;;;;;;;;;;;;;;;;;;1;;;;;;
326;IEEE CONFERENCE ON COMPUTATIONAL COMPLEXITY;CCC;2;A;CORE:A, LiveSHINE:A;A, A;CORE:[A], LiveSHINE:[A-|A];;;;;;;;;;;;;;;;;42;243;A-;42;243;A-;20,14;179;A;20,14;179;A;313;6305;313;6305;A;A;2;;;;;;
